개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,분류
보은국민체육센터,보은국민체육센터,체육관,"1월 1일, 설날 ,추석(연휴포함)",5:00,22:00,5:00,22:00,Y,17,100000,,,1000,1205,"방송실,체육시설,",방문.전화,,충청북도 보은군 보은읍군청길 38-1,충청북도 보은군 이평리 45-6,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1393,36.48750901,127.7297458,2021-03-23,보은군
보은국민체육센터수영장,보은국민체육센터,체육관,"매주 월요일, 1월 1일, 설날 ,추석(연휴포함)",9:00,21:00,9:00,18:00,Y,17,3000,,,90,927,"찜질방, 샤워실",방문.전화,,충청북도 보은군 보은읍군청길 38-1,충청북도 보은군 이평리 45-6,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1393,36.48750899,127.7297486,2021-03-23,보은군
보은국민체육센터헬스장,보은국민체육센터,체육관,"매주 월요일, 1월 1일, 설날 ,추석(연휴포함)",7:00,22:00,9:00,18:00,Y,17,2500,,,30,320,헬스기구 60여종,방문.전화,,충청북도 보은군 보은읍군청길 38-1,충청북도 보은군 이평리 45-6,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1393,36.4875157,127.729757,2021-03-23,보은군
보은공설운동장,보은공설운동장,다목적경기장,"1월 1일, 설날 ,추석(연휴포함)",5:00,22:00,5:00,22:00,Y,3,120000,60,0.2,5000,34643,"조명, 방송실,샤워실",방문.전화,,충청북도 보은군 보은읍군청길 40,충청북도 보은군 이평리 45,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1394,36.48741054,127.7296388,2021-03-23,보은군
구병산천연잔디구장,마로면 적암리,축구장,"1월 1일, 설날 ,추석(연휴포함)",5:00,22:00,5:00,22:00,Y,3,120000,60,0.2,400,8250,"조명, 방송실,샤워실",방문.전화,,,충청북도 보은군 마로면 적암리 121,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1398,36.4481504,127.8682134,2021-03-23,보은군
전천후보조육상경기장,보은군청,다목적경기장,"1월 1일, 설날 ,추석(연휴포함)",5:00,22:00,5:00,22:00,Y,3,20000,60,0.2,300,2672,조명,방문.전화,,충청북도 보은군 보은읍군청길 40,충청북도 보은군 이평리 45,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1398,36.48615652,127.7291361,2021-03-23,보은군
생활체육공원,보은군청,축구장,"1월 1일, 설날 ,추석(연휴포함)",5:00,22:00,5:00,22:00,Y,3,40000,60,0.2,300,14150,"조명, 방송실",방문.전화,,충청북도 보은군 보은읍군청길 59-13,충청북도 보은군 보은읍 성주리 346,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1395,36.48615883,127.7291277,2021-03-23,보은군
생활체육공원,보은군청,족구장,"1월 1일, 설날 ,추석(연휴포함)",5:00,22:00,5:00,22:00,N,3,,,,100,924,조명,방문.전화,,충청북도 보은군 보은읍군청길 59-13,충청북도 보은군 보은읍 성주리 346,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1395,36.4861611,127.7291249,2021-03-23,보은군
생활체육공원,보은군청,풋살경기장,"1월 1일, 설날 ,추석(연휴포함)",5:00,22:00,5:00,22:00,Y,3,1000,60,0.2,30,924,조명,방문.전화,,충청북도 보은군 보은읍군청길 59-13,충청북도 보은군 보은읍 성주리 346,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1395,36.4861521,127.7291221,2021-03-23,보은군
스포츠파크 육상경기장(축구장),스포츠파크,다목적경기장,"1월 1일, 설날 ,추석(연휴포함)",5:00,22:00,5:00,22:00,Y,3,120000,60,0.2,5000,,"조명, 방송실",방문.전화,,충청북도 보은군 보은읍 군청길 71,충청북도 보은군 보은읍 성주리 34,충청북도 보은군청,스포츠산업과,043-540-3742,www.boeun.go.kr/sports/contents.do?key=1717,36.4839425,127.7301559,2021-03-23,보은군
